question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,user_ans
Not a metabolic product of urea cycle -,"Ans. is 'c' i.e., Alanineo Biosynthesis of urea occurs in five steps.1) Carbamoyl phosphate synthase-I (CPS-I), a mitochondrial enzyme, catalyzes the formation of carbamoyl phosphate by condensation of CO2 and ammonia. Two molecules of ATP are required for the reaction. CPS-I is the rate limiting enzyme of urea cycle. It is an allosteric enzyme and allosterically activated by N-acetyl glutamate.2) Ornithine transcarbamoylase catalyzes the formation of citrulline from carbamoyl phosphate and ornithine.3) Argininosuccinate synthase catalyzes the formation of argininosuccinate from citrulline and aspartate. This reaction requires 1ATP, but 2 high energy phosphate bonds are consumed as ATP is converted to AMP + PPi. The amino group of aspartate provides one of the two nitrogen atoms that appear in urea (The other one is provided by ammonia NH4).4) Argininosuccinate lyase (argininosuccinase) catalyses the cleavage of argininosuccinate into arginine and fumarate. Fumarate enters in TCA cycle.5) Arginase catalyses the formation of urea from arginine by hydrolytic cleavage of arginine to yield urea and ornithine. Ornithine is thus regenerated and can enter mitochondria to initiate another round of the urea cycle.",3,Citrulline,Ornithine,Alanine,Arginine,Biochemistry,Urea Cycle and Disorders,80a89f1a-5218-4f76-ae48-c7ad2037c3d7,single,3
Most common porphyria in humans is due to deficiency of which of the following enzyme:,Porphyria Cutanea Tarda is the most common porphyria. Enzyme defect:- Uroporphyrinogen decarboxylase Sporadic (type 1) Familial (type 2) Can also develop after exposure to halogenated aromatic hydrocarbons. MC Acute porphyria - Acute intermittent porphyria MC porphyria in children - Erythropoietic protoporphyria,2,PBG deaminase,Uroporphyrinogen decarboxylase,Ferrochelatase,Coproporphyrinogen oxidase,Biochemistry,HAEM synth and porphyrias,b5ae1a9a-cfe4-461f-b4b5-93a1636f8fe3,single,3
Ketone bodies are not used by which organ-,"- In liver there is absence of thiophorase, first enzyme of ketone body utilization pathway. - So Liver also cannot utilize ketone bodies. - Brain, muscle and hea can use ketone bodies during starvation. Extra information: In RBC, there is no mitochondria and ketone body utilization pathway takes place in mitochondria. So, RBC cannot utilize ketone bodies",2,Brain,Liver,Muscle,Hea,Biochemistry,"Fuel in Fed, Fasting and Starvation",cc9da115-465f-4342-951d-a03a8b0a976d,single,2
Apolipoprotein B-48 made by?,"In liver cell, Apo B 100 gene gives rise to Apo B 100 protein. ButApo B 48 proteinis made inintestinal cellsfrom the gene encoding Apo B 100, by the process ofRNA editing, which is also known as Differential RNA processing or chemical modification of RNA. This is apost transcriptional modification. OTHER OPTIONS: OPTION A:RNA splicing is also a post transcriptional modification but this is removal of introns. OPTION D:RNA interference is silencing technique where the gene is silenced by not letting the product of gene formed. Translocation occurs during translation. This is movement of ribosome over mRNA.",2,RNA alternat splicing,RNA editing,DNA editing,RNA interference,Biochemistry,NEET Jan 2020,8354920e-7eaf-41f3-add8-376d082ed77b,single,2
Enzyme that produces single strand nicks in DNA:,"Deoxyribonuclease I (DNAase I) Acts on single-stranded DNA, double-stranded DNA, and chromatin. Makes single stranded cuts in nearly any segment of DNA i.e. has low sequence specificity. Digest DNA that is not protected/not bound by protein, into its component deoxynucleotides. Used in DNA Foot Printing. E.g. (DNase I) nick the single strands of double-stranded DNA.",2,DNA polymerase I,DNAase I,Polynucleotide kinase,l - exonuclease,Biochemistry,Replication,8b861ea3-001c-4fec-b45d-b32c0ba10966,single,1
Which apolipoprotein is responsible for Alzheimer's disease:-,"Relative risk of Alzheimer's disease is maximum with Apo E4 Apo E Risk of Alzheimer's E2, E2 0.6 E2, E4 2.6 E3, E4 3.2 E4, E4 14.9",3,APOE3,APOE1,APOE4,APOE2,Biochemistry,NEET 2019,3d21502b-49ff-4de0-97a5-bca05f236b7b,single,3
Ketone body formation without glycosuria is seen in -,"Ans. is 'c' i.e.. Starvation o Amongst the given options, DM and starvation are the causes of ketosisDiabetes Ketosis with hyperglycemia and glycosuriaProlonged starvation :- Ketosis with low or normal glucose and without glycosuria.o In diabetic Ketoacidosis:- (i) Positive Rothera's test (due to ketone bodies) (ii) Positive Benedict's test (due to presence of reducing sugar in urine)o In Starvation ketosis:- (i) Postive Rothera's test (due to ketone bodies), (ii) Negative Benedict's test (no sugar in urine)",3,Diabetes mellitus,Diabetes insipidus,Starvation,Obesity,Biochemistry,Oxidation of Fatty acids: Ketogenesis,474a27a6-7f0b-40f0-b8a7-b950ec3d8b35,single,3
The conversion of glutamate to glutamine is catalysed by a,Glutamine is a nutritionally non-essential amino acid It is synthesised from glutamate Free ammonia is ligated to glutamate (that is why ligase) with the use of energy provided by ATP hydrolysis. The enzyme is glutamine synthetase (Synthetase requires ATP while synthase does not require ATP).,2,Lyase,Ligase,Transferase,Oxidoreductase,Biochemistry,Urea cycle,feb868aa-e06e-40b0-93d4-76c5bc13676f,single,2
Vitamin B12 is found maixmum in:,"Vitamin B12 Synthesized exclusively by microbes. Dietary sourceis exclusively ofanimal origin Vitamin B12deficiency clinical manifestations: Haematological: Megaloblastic anemia, Hypersegmentation of neutrophils. Neurological: Demyelination in peripheral nerves and spinal cord",1,Animal products,Green leafy vegetables,Roots and tubers,Sunlight,Biochemistry,NEET Jan 2020,a8382c74-2612-4025-8ea5-43b4b3c8646e,single,1
Linker DNA is bound to which of the following histone?,Linker DNA The DNA between two nucleosomes Bound by H1 histone. Made up of 30 base pairs.,1,H1,H2A,H2B,H3,Biochemistry,Basics of DNA,5ec59174-6f8d-4ae6-a37b-e1865ffb9ad0,single,1
Which end product of citric acid cycle is used in detoxification of ammonia in brain,"Ans. is 'b' i.e., Alpha-ketoglutarate : ""Glutamine (amide of glutamic acid) provides a non-toxic storage and transport form of ammonia. The formation of glutamine occurs primarily in the muscles and liver but also is important in the nervous system, where It's the major mechanism for the removal of ammonia in the brain.""Thus Glutamine is the sole form of transport of ammonia in brain*.Glutamine is an amide of glutamic acid which is formed from alpha- ketoglutarate.",2,Oxaloacetate,Alphaketoglutarate,Succinate,Citrate,Biochemistry,Urea Cycle and Disorders,4b245a5c-1b99-491b-a46e-50ea93b8e4cf,single,2
Enzyme of Urea cycle deficient in Brain is :,Enzyme of Urea cycle deficient in Brain is Ornithine Trans Carbamoylase (OTC). This enzyme catalyses the formation of citrulline from carbamoyl phosphate and ornithine. Arginase is absent in kidneys (option -1) CPS-1 is the RLE enzyme (option 2) Argino Succinate Lyase breakdown arginosuccinate in to arginine and fumarate. (option 4),3,Arginase,Carbamoyl phosphate synthetase I,Ornithine Trans Carbamoylase,Argino Succinate Lyase,Biochemistry,Urea cycle,5e2b4596-32da-488d-b0b4-1384c8e2272a,single,3
Beta oxidation of fatty acids occur in?,"Ans. (b) MitochondriaRef Lippincott's 4/e, /194, Harper's Biochemistry 28, chapter 22",2,Nucleus,Mitochondria,Cytoplasm,Peroxisomes,Biochemistry,Oxidation of Fatty acids: Ketogenesis,a82050a9-4091-4d3d-afd5-e641ea14b919,single,2
The usual sequence of cell cycle -,"Ans. is 'a' i.e., G0-G1-S-G2-M o In cell, the replication of the DNA occurs only at a specific time during the life of the cell. This period is referred to as the synthetic phase. The various phases of cell cycle are (in sequence) G0 - G1 - S - G2 - M.# G1: Presynthetic phase/interval.# S: Synthetic phase (DNA synthesis).# G2: Post synthetic phase/premitoic phase/interval.# M: Mitotic phase: Cells are produced which either directly reenter next cycle or pass into non proliferative G0 phase.# G0: Quiescent state.o There are two resting phases and two active phases in the cycle.# Resting phases -G1 & G2.# Active phases1) S-phase (synthetic phase) - As the name suggests, synthesis of new DNA takes place, i.e. doubling of DNA occurs.2) IM-phase (mitotic phase) - Mitosis takes place and the daughter cells recieve one copy of DNA. In this phase, cell number is doubled.o The duration of cell cycle and its stages varies greatly between cell types. The time taken for S, G2 and M phases are similar for most cell types, occupying about 6, 4 and 2 hours respectively whereas the duration of G1 shows cosiderable variation as short as 2 hours in rapidly dividing cells i.e. embryonic tissue or longer than 12 hours in some adult tissue. G1 phase is most variable because, in this phase cell are not committed to DNA replication, can enter resting state or progress to next cell division.o In mammals because of the time required for a cell to progress of S-phase through mitosis from begining is typically 12-24 hours irrespective of duration of G1 phase; almost all the variation in proliferating rates are attributable to the amount of time spent in G1/Go state.",1,G0-G1-S-G2-M,G0-G1-G2-S-M,G0-M-G2-S-G1,G0-G1-S-M-G2,Biochemistry,DNA Replication ,c1a795b6-ccea-42c0-b7cf-ce26d9afad2e,single,1
"In transaminases, PLP is covalently attached to which amino acid?","Transaminases:- Transfer amino groups in reactions Coenzyme required is Vitamin B6 i.e. active form PLP (Pyridoxal phosphate) The PLP is linked with a e-amino group of a lysine residue, at the active site of the enzyme forming a Schiff base (imine linkage) ping pong bi bi mechanism is involved in transamination reaction. NOTE: Threonine does not undergo transamination. All the amino acids undergo transamination except: Proline Lysine Threonine Hydroxyproline",2,Glutamate,Lysine,Alanine,Threonine,Biochemistry,Urea cycle,6221e0a0-25f4-4f22-80b4-cd19facfc746,single,2
Digestive enzymes are -,"Ans. is 'a' i.e., Hydrolases {Ref: Harper's 29th/ep. 518-19]o All digestive enzymes are hydrolases.",1,Hydrolases,Oxidoreductases,Dehydrogenases,Ligases,Biochemistry,Mechanisms of Enzyme Action,09c08061-697b-4850-ab96-8040097dccdf,single,1
Tyrosine enters at which level in citric acid cycle-,"Ans. is 'b' i.e., Fumarate o All major members of the citric acid cycle from citrate to oxaloacetate are glucogenic and therefore, are involved in gluconeogenesis. Some glucogenic aminoacids enters the TCA cycle after transamination e.g.:a) Histidine, proline, glutamine and arginine are converted to glutamate which is then transaminated to a- ketoglutarate.b) Isoleucine, methionine and valine enter by conversion into succinyl CoA. Propionate (a short chain fatty acid)also enter at this level.c) Tyrosine, and phenylalanine enter by conversion into fumarate.d) Tryptophan is converted to alanine which is then transaminated to pyruvate.e) Hydroxyproline, serine, cysteine, threonine and glycine enter by conversion into pyruvate.",2,Succinyl CoA,Fumarate,Pyruvate,a-ketoglutarate,Biochemistry,Kerbs Cycle,68def611-f4dc-4e08-ae6c-1aff8d67222a,single,2
"Female, on maize as a staple diet. History of diarrhoea and lesion in the neck region. It is due to the deficiency of?","Dietarydeficiency of Niacin or its precursor tryptophan. People with staple diet - maize and Jowar. Maizeis poor source of both nicotinic acid and tryptophan and a pa of nicotinic acid is in a bound form that is not assimilated in GIT. Jowar has high content of leucine. Imbalance between leucine and other related amino acids interferes with conversion of tryptophan to nicotinic acid. Malabsorption Drugs like INH, 5FU, and 6-mercaptopurine. Carcinoid syndrome Dietarydeficiency of Niacinor its precursortryptophan. C/f: Middle aged persons Pellagra: - (Dermatitis,Dementia,Diarrhea, Death) T/t: Niacinamide 300-500mg/dayorally in divided doses.",1,Niacin,Zinc,Thiamine,Pyridoxine,Biochemistry,NEET Jan 2020,e61971b5-b75b-4061-86aa-ebc6f74b0ffd,single,1
Addition of PUFA in plasma membrane causes,Ans. is 'b' i.e. increased fluidity of membranes : As explained previously in NOV 2000 paperThe fluidity of the plasma membrane is highly dependent upon the lipid composition of the membrane . * Saturated fatty acids : Increase the transition temperature and hence decrease the fluidity.Unsaturated fatty acids (PUFA) : Decrease the transition temperature and hence increase the fluidity of membrane.,2,Membrane becomes rigid,Increase in fluidity of membrane,Decrease in fluidity of membrane,No change in fluidity of membrane,Biochemistry,Membrane Structure & Function,ecc0029b-a7ea-4ac0-a6fb-ded7161a0bf6,single,2
Substrate level phosphorylation in citric acid cycle is catalysed by -,"Ans. is 'd' i.e., Succinate thiokinase o There are 2 types of phosphorylation of ADP to ATP.Substrate level phosphorylationOxidative phosphorylation at respiratory' chain levelo Substrate level phosphorylation is the production of ATP at the substrate level without participation of ETC.o It occurs in TCA cycle and glycolysis CitricAcid cydeSuccinate thiokinaseSuccinyi Co-A ---------------------------------------------------------- SuccinatePhosphnplyoerate kinaseGlycolys1. 1,3-Biphosphoglycerate ------------------------------------------------ 3-Phosphogly ceratePyruvate kinase2. Phosphoenolpvruvate ----------------------------------------------Pyruvate",4,Pyruvate kinase,Phosphogly cerate kinase,Malate dehydrogenase,Succinate thiokinase,Biochemistry,Kerbs Cycle,bba160d4-60a5-404c-b595-2f10e9156211,single,4
Which of the following is a functional enzyme?,"ANSWER: (C) ProthrombinREF: Medical Biochemistry by Sheriff - Page 94 Prothrombin is a clotting factor and is a functional enzymeDifference between functional and non-functional enzymes Functional plasma enzymesNon-functional plasma enzymesConcentrationPresent in plasma in higher concentration than tissuePresent in plasma in very low concentration than tissueFunctionKnown functionNo known functionSubstrateSubstrate always present in bloodSubstrates are absent in bloodSite of synthesisLiverDifferent organs (brain, heart, liver, muscles)Effect of diseasesDecrease in liver diseaseIncrease in different organ diseasesExamplesClotting factors Lipoprotein lipase Pseudocholine esteraseALT, AST, LDH, CK Alkaline phosphatase Acid phosphatase Amylase",3,LDH,Amylase,Prothrombin,Acid phosphatase,Biochemistry,Mechanisms of Enzyme Action,e14f74a8-d7e8-4579-8b18-5e04e7cafcf5,single,3
Important buffer in the extracellular fluid is:,"Ans. C. BicarbonateThe bicarbonate buffer system is the most important extracellular buffer. Although it has a relatively low buffering capacity with pKa 6.3, it plays an important role in maintaining blood pH because1. Of its high concentration 2. The two elements, HCO3- and CO2 of H2CO3 are regulated by increasing or decreasing the rate of reabsorption of HCO3- by the kidneys and by altering the rates of removal or retention of CO2.",3,Phosphate,Acetate,Bicarbonate,Plasma protein,Biochemistry,Membrane Structure & Function,f312fa74-dac4-4ed9-8e59-82b3a6b0ad0f,single,3
Mesosomes are prokaryotic counterpart of eukaryotic:,"Ans: a (Mitochondria) Ref:Ananthanarayan, 7th ed, p. 13Mesosomes are principal sites of respiratory enzymes in bacteria and are analogous to mitochondria of eukaryotes.Mesosomes, (also called chondroids) are vesicular, convoluted or multilaminated structures formed as invaginations of the plasma membrane into the cytoplasam.",1,Mitochondria,Endoplasmic reticulam,Golgi apparatus,Nucleus,Biochemistry,Membrane Structure & Function,acb0784f-21f8-4042-94b7-926a4fe7ace6,single,1
Degradation of a substance takes place in which part of the cell:,"Ans: c (Lysosome) Ref: Vasudevan, 4th ed,p. 17Degradation of a substance takes place in lysosomes. Phagosomes fuse with lysosomes to form phagolysosomes, inside which particles are digested.Lysosomal storage disease:DiseaseEnzyme deficiencyMajor accumulating metaboliteGlycogenosesType II (Pompes disease)Lysosomal glucosidaseGlycogenSphingolipidoses GM 1GMl gangliosideGM 1 gangliosideGM 2Beta galactosidaseGM 2 gangliosideTay sachs diseaseHexosaminidase A Sulfatidoses Gaucher diseaseGlucocerebrosidaseGlucocerebrosideNiemann Pick diseaseSphingomyelinaseSphingomyelinMucopolysaccharidoses MPS 1 (Hurler)L-IduronidaseHeparan sulfate Dermatan sulfateMPS 11 (Hunter)L- Iduronosulfate sulfataseHeparan sulfate Dermatan sulfate",3,Mitochondria,Nucleus,Lysosome,ER,Biochemistry,Membrane Structure & Function,0eecf55b-5391-4939-85da-11d133f05613,single,3
Alcohol dehydrogenase is a/an -,"Ans. is 'd' i.e., Oxidoreductase o Alcohol dehydrogenase is a NAD-linked dehydrogenase (oxidoreductase)o It catalyzes the oxidation of ethanol to acetaldehyde.",4,Transferase,Hydrolase,Ligase,Oxidoreductase,Biochemistry,Mechanisms of Enzyme Action,25d6f855-4049-46e5-861d-09d0adea8ad2,single,4
Ketone bodies are synthesized -,"Ans. is 'c' i.e., Miochondria o Ketone body synthesis (ketogenesis) occurs in mitochondria,SiteCycle/ReactionsCytosolQGlycolysis Q (EMP Cycle Q), HMP shunt, fatty' acid synthesisQ glycogenesis, glycogenolysis, Bile acid/Salt synthesis, cholesterol synthesisMitochondria QKreb's cycle (citric acid cycle) Q. Electron transport chain (ECT) Q, Fatty' acid oxidationQ, KetogenesisBoth cytosol and mitochondriaGluconeogenesisQ, Urea cycleQPeroxisomesOxidation of very' long chain fatty' acidsSmooth endoplasmic reticulumTriglyceride synthesisQ, Steroid synthesisQ, cholesterol synthesis, phospholipid synthesisRough endoplasmic reticulum (ribosomes)Protein synthesisNucleusDMA and RNA synthesiso They are called essential fatty acids because human beings require these fatty acids but cannot synthesize themQ,o Humans lack the enzymes to introduce double bonds at carbon atom beyond C9 in the fatty' acid chain,o Hence, human cannot synthesize linolenic acid0and linolenic acid having double bonds beyond C9.o Arachidonic acid can be synthesized from linoleic acid.o Therefore, in deficiency of linoleic acid, arachidonic acid also becomes essential fatty' acids,o Therefore linoleic acid is the most important essential fatty acid0 as it senes as a basis for the production of other EFA.",3,Cytosol,ER,Miochondria,Peroxisomes,Biochemistry,Oxidation of Fatty acids: Ketogenesis,29552839-ef0c-4c23-ad36-7d0e3b41c60a,single,3
Rotheras test is used for -,"Ans. is 'd' i.e., Ketone bodies in urineTestsUsed foro Rothera's test (nitroprusside test)o Gerhardt's test (ferric chloride test)Ketone bodies in urine :- acetone and acetoacetateKetone bodies in urine :-acetoacetate.o Benedict's testo Fehling's testReducing sugars in urineReducing sugars in urineo Hay's sulpher testBile salts in urineo Fouchet's (borium sulphate test)o Gmelin's (nitric acid) testo Vanden Bergh testo Ehrlich's testo Schlesinger's testBile pigment: bilirubinBile pigment: bilirubinBile pigment: bilirubinBilinogens (stercobilinogen, urobilinogen)Bilins (stercobilin, urobilin).o Ehrlich's aldehyde testPorphobilinogenQ and urobilinogen in urineo Ehrlich s aldehyde test is used for urobilinogen & porphobilinogen,o Tests for cholesterol include --- Salwoski, Liebermann, Ziemann.o Tests for charbohydrates include --- Molish for all sugars, Selwenojf(D-fructose), Fearons.o Rothera's test is false positive in --- presence of other ketones e.g. in PKU.o In Ninhydrin reaction all amino acid give blue colour except proline and hydroxy-proline which give yellow colour.",4,Bilirubine in urine,Sugar in urine,Protein in urine,Ketone bodies in urine,Biochemistry,Oxidation of Fatty acids: Ketogenesis,7fc7a6c5-ab04-41f6-8d43-52da6eb30e09,single,4
G protein of G protein coupled receptors are attached to?,"Ans. is 'b' i.e.,Carboxyterminal end* G protein coupled receptors are receptors which are coupled to G protein* G proteins are proteins which get activated on binding to GTP* There are two types of G proteins# Small G proteins# Heterotrimeric G proteins* G protein coupled receptors are coupled to heterotrimeric G proteins with a,p,y subunits* The receptors cross the cell membrane 7 times. That makes them look like a snake. Hence they are called as serpentine receptors.* These receptors being proteins, have an aminoterminal end and a carboxy terminal end. Aminoterminal end faces the extracellular side and the carboxy terminal end faces the cytoplasm. To this carboxy terminal end, is attached the G protein, with a, b, g subunits.",2,Aminoterminal end,Carboxyterminal end,Third transmembrane domain,Seventh transmembrane domain,Biochemistry,Membrane Structure & Function,356b629d-0782-4253-be54-501bdcf4bda4,single,2
Hyperammonemia type I is due to deficiency of -,"Ans. is 'a' i.e., CPS-I o Deficiency of any of the urea cycle enzyme would result in hyperammonemiaQ.o When the block is in one of the earlier steps, the condition is more severe, since ammonia itself accumulates,o Deficiency of later enzymes result in accumulation of other intermediates which are less toxic and hence symptoms are less.Disorders caused by genetic defects of urea cycle enzymesDisordersHyperammonemia type-IHyperammonemia type-IICitrullinemiaArgininosuccinic aciduriaArgininemiaDefective enzymeCarbamoyl phosphate synthase-IOrnithine transcarbamoylaseArginosuccinate synthaseArgininosuccinate lyaseArginaseProducts accumulatedAmmoniaAmmoniaCitrullineArgininosuccinateArginine",1,CPS-I,CPS-n,Arginase,Arginosuccinase,Biochemistry,Urea Cycle and Disorders,803032eb-5886-4a16-ac64-bb5106829e68,single,1
GIutathione peroxidase contains -,"Ans. is *b' i.e., SeMicrominerals or trace elementsChromiumPotentiate the effect of insulinrImpaired glucose metabolismCobaltConstituent of vitamin B12rMacrocytic anemiaCopperConstituent of oxidase enzymes, e.g., tyrosinase, lysyl oxidaser, superoxide dismutase, cytochrome oxidase, ferroxidse and ceruloplasmin, involved in iron absorption and mobilization'Microcytic hyporchromic anemia, depigmentation of skin, hair. Excessive deposition in liver in Wilson's diseaser, Menkes disease (""Kinky"" or ""'steely"" hair disease) due to copper- binding P-type ATPasegene mutationrFluorideConstituent of bone and teeth, strengthens bone and teethDental cariesIodineConstituen t of thyroid hormones (T3 andT4)Cretinism in children and goiter in adultsIronConstituent of heme and non-heme compounds and transport, storage of O2, cytochrome oxidase, xanthine oxidase, catalase, peroxidaseMicrocytic anemiaManganeseCofactor for number of enzymes, e.g., arginase, carboxylase, kinase, enolase, glucosyl transferase, phosphoglueomutaseNot well definedMolybdenumConstituent of xanthine oxidase, sulfite oxidase and aldehyde oxidaseXanthinuriaSeleniumAntioxidant, cofactor for glutathione peroxidase, protects cell against membrane lipid peroxidationCardiomyopathyZincCofactor for enzymes in DNA, RNA and protein synthesis, constituent of insulinr, carbonic anhydraser, carboxypeptidaser, LDHr, alcohol dehydrogenaser, alkaline phosphataser,glutamate dehydrogenase, Porphobilinogen synthase, super oxide dismutaser.Growth failure, impaired wound healing, defects in taste and smell, loss of apetite",2,Cu,Se,Fe,Hg,Biochemistry,Mechanisms of Enzyme Action,0f2df3ed-2b21-4ead-b465-1b70866ee78d,single,2
DNA Gyrase is:,Topoisomerases Relieves supercoils. Cut and reseal DNA and relieve positive supercoils. Don't use ATP. Gain energy from the cleavage of the phosphodiester bond. DNA Gyrase: Counterpa of Topoisomerase II in prokaryotes. Introduces negative supercoils (underwinding is known as negative supercoiling) and Uses ATP Topoisomerase I Topoisomerase II Makes cut on single strand Makes cut on both strands Formation of a covalent DNA-enzyme complex preserves the free energy. ATP is not needed. ATP is needed. Relaxes negative supercoils in E. coli; Both negative and positive in Eukaryotes. Relaxes both negative & positive supercoils. +ve supercoil is relieved by introducing -ve supercoils.,4,Eukaryotic DNA Topoisomerase I,Prokaryotic DNA Topoisomerase III,Prokaryotic DNA Topoisomerase I,Prokaryotic DNA Topoisomerase II,Biochemistry,Replication,9580c2e0-cb75-407c-a5ff-196b16983f44,single,4
DNA replication occurs in which phase of cell cycle?,"ANSWER: (B) S phaseREF: Ganong's physiology 22nd ed chapter 1""S or synthetic phase of cell cycle is the one in which replication of DNA OCCURS.",2,G1 phase,S phase,G2 phase,M phase,Biochemistry,DNA Replication ,06ad0d05-0387-4a39-8240-5ae5666763f3,single,2
Nitric oxide synthase:,"Ans. D. Requires NADPH FAD, FMN, Heme ironNitric oxide synthase is a very complex cytosolic enzyme which requires five redox co-factors: NADPH, FAD, FMN, Heme and tetrahydrobiopterin (FH4 ). NOS activity depends on increased conc, of Ca2++ ions.",4,Is inhibited by Ca++,Catalyze a de oxygenase reaction,Accept electron from NADH.,"Requires NADPH FAD, FMN, Heme iron.",Biochemistry,Mechanisms of Enzyme Action,84c101f0-5350-47d4-8811-8cc63be1779f,single,4
Hershey chase experiment was done on:,Hershey chase experiment To see whether it is DNA or protein which enters host cell to act as genetic material. Done on bacteriophages. Viruses don't have their own machinery of reproduction. So they attach to the host cells (bacteria) and transfer their genetic material into the host cell and bacteria then produce viruses. Host for infection was E.coli bacteria. E.coli bacteria that were infected by radioactive DNA viruses were radioactive but the ones that were infected by radioactive protein viruses were non-radioactive.,3,Lactobacillus,Tuberculous bacteria,Bacteriophages,Mycoplasma,Biochemistry,Basics of DNA,81e5fd44-93af-407f-bde9-215cac86f0df,single,3
Sencent cells are deficient in -,"Ans. is 'c' i.e., Telomerase o Telomers are short repeated sequences of DNA present at the end of eukary otic chromosomesQ.o In normal cells, telomeres get shortened in each replicated cycle.o After the telomers get shortened by a critical length, cell stops dividing and enters into Go phase (senscence).o However, germ ceilsQ, cancer cellsQ and stem cellsQ have an enzyme telomerase (telomerase activity ) which prevents telomer shortening.o Thus telomers are not shortened in these cells, and therefore these cells have ability to self replicate extensively,o Telomerase is a reverse transcriptase (RNA dependent DNA polymerase) and is responsible for telomer synthesis and maintaining the length of telomers (replication of end of chromosomeQ),o Thus, telomerase provide iongetivitv to the cellsQ which contain this enzyme.o Telomerase is absent from most of the somatic cellsQ and hence they suffer progressive loss of telomers and they exit the cell cycle.o Senscent cells lack telomerase so their telomers get shortened by critical length and these cells remains in Go phase.",3,RNA polymerase,DNA polymerase,Telomerase,Helicase,Biochemistry,DNA Replication ,ad1f580c-dbef-4a5d-a16a-1da9d8abab08,single,3
Which one of the following bonds links two nucleotides in a nucleic acid?,"Nucleic acids are directional molecules: 5' end is the end with free (unesterified) phosphate group. 3' end is the end with free OH group. Nucleic acid sequences are written in 5'-3' direction. During the synthesis of nucleic acids, 3' OH group of existing nucleotide is esterified to the 5' phosphoryl group of the incoming nucleotide 3'-5' phosphodiester bond.",2,3'-3' phosphodiester bond,3'-5' phosphodiester bond,5'-5' phosphodiester bond,5'-5' phosphotriester bond,Biochemistry,Basics of DNA,f3fffc4a-619c-4d37-a05a-2bd0e241650c,single,2
a keloglutarate dehydrogenase is inhibited by -,"Ans. is 'c' i.e., ArseniteIn glycolysiso Fluoride inhibitso Iodoacetate inhibitso Arsenite inhibits---EnolaseGlyceroldehyde 3-phosphate dehydrogenase.Phosphoglycerate kinaseIn TCA cycleo Fluoroacetate inhibits aconitase non-competitively.o Arsenite inhibits a-ketoglutarate dehydrogenase non-competitively.o Malonate inhibits succinate dehydrogenase competitively.",3,Fluoride,Fluoroacetate,Arsenite,Iodoacetate,Biochemistry,Kerbs Cycle,926734c5-5225-4f4e-9961-e4a521b2c742,single,3
Net ATPs produced by substrate level phosphorylation when one molecule of fructose is conveed to two molecules of pyruvate?,"ATP yield of fructose is same as that of glucose. One may argue that fructose enters glycolysis bypassing the energy investment step (fructose-1-phosphate to fructose 1,6 bisphosphate) and thus 1 ATP should be obtained extra. but one extra ATP is used for conversion of glyceraldehyde to GAP. So ATP consumption (total 2 per fructose) is same as glycolysis of glucose. Look at the ATP used in the image when fructose enter glycolysis. Hence Net ATP yield is also 4 ATP produced- 2 ATP used = 2 ATPs",1,2,3,4,5,Biochemistry,Galactose and fructose metabolism,5553b49e-d174-498e-9785-46da304de26b,single,1
Receptor mediated endocytosis is by,"Ans is A i.e. Clathrin EndocytosisThe process by which cells take up large molecules is called endocytosis.Endocytotic vesicles are generated when segments of the plasma membrane invaginate, enclosing a minute volume of extracellular fluid and its contents. The vesicle then pinches off as the fusion of plasma membranes seals the neck of the vesicle at the original site of invagination.* There are two general types of endocytosis:PhagocytosisPinocytosisPha2ocvtosisinvolves ingestion of large particles such as viruses, bacteria, cells or debris.Phagocytosis occurs only in specialized cells such as macrophages and granulocytes.PinocytosisIt is a property of all cellsIt is cellular uptake of fluid and fluid contents.Pinocytosis is of two types :Fluid phase pinocytosis - is a non-selective process in which the uptake of a solute is simply proportionate to its concentration in the surrounding extracellular fluid:Absorptive pinocytosis: is a receptor mediated selective process primarily responsible for the uptake of macromolecules. The vesicles formed during absorptive pinocytosis are derived from invagination (pits) that are coated on the cytoplasmic side with a filamentous material. In many systems, clathrin is the filamentous material. For .e.g LDL is internalized by means of coated pits containing the LDL receptors.",1,Clathrin,Porine,Cytocin,Vimentin,Biochemistry,Membrane Structure & Function,1c551e8e-bff8-4946-aeab-efb517f3a44c,single,1
What do restriction endonucleases do -,"Ans. is 'a' i.e., Cut ds dna at specific sites o Endonucleases-enzymes that cut DNA at specific DNA sequences within the molecule (as opposed to exonucleases, which digest from the ends of DNA molecules)-are a key tool in recombinant DNA research,o These enzymes were called restriction enzymes because their presence in a given bacterium restricted the growth of certain bacterial viruses called bacteriophages.o Restriction enzymes cut DNA of any source into short pieces in a sequence-specific manner-in contrast to most other enzymatic, chemical, or physical methods, which break DNA randomly.o Restriction endonucleases cleave (cut) both strands of DNAQ.o Some restriction enzymes cut both strand at same level, so as to leave no unpaired bases on either end.o These ends are called blunt endsQ.o On the other hand, some restriction enzyme cut two strands in staggered manner, leaving two to four nucleotides of one strand unpaired at each end.o Thses ends are referred to as cohesive ends (or sticky ends42 or staggered ends).",1,Cut ds DNA at specific sites,Cut RNA at specific sites,Cut ss DNA at specific sites,Break peptide chains,Biochemistry,DNA Replication ,e103afc9-3b3c-4dbb-bd37-f4cdfe4f2984,single,1
